	ckiptagger	pkuseg	fastHan	PyNLPIR	stanza	spacy	ltp	jiagu	lac	snownlp	target	char	sent
0	Nb	nr	NR	nrf	PROPN	PROPN	nh	nh	PER	j	NR	洛	0
1	Nb	nr	NR	nrf	PROPN	PROPN	nh	m	PER	nz	NR	什	0
2	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	nz	NR	卡	0
3	Nb	nr	NR	nrf	PROPN	PROPN	nh	v	PER	nx	NR	列	0
4	Nb	nr	NR	nrf	PROPN	PROPN	nh	n	PER	nx	NR	夫	0
5	Neu	n	CD	m	NUM	NUM	m	m	m	m	CD	一	0
6	Nc	n	NN	q	NOUN	NUM	m	v	m	q	NN	家	0
7	VCL	v	VV	vi	VERB	VERB	v	v	v	v	VV	住	0
8	DE	u	DEC	ude1	PART	PART	u	u	u	u	DEC	的	0
9	Nc	n	NN	n	ADJ	NOUN	n	n	a	n	NN	简	0
10	Nc	n	NN	n	ADJ	NOUN	n	n	a	n	NN	易	0
11	Nc	n	NN	n	PART	NOUN	n	n	n	n	NN	房	0
12	P	p	SB	pbei	VERB	X	p	p	p	p	SB	被	0
13	VG	v	VV	v	VERB	VERB	v	v	v	v	VV	叫	0
14	VG	v	VV	v	VERB	VERB	v	v	v	v	VV	做	0
15	Na	ns	OD	m	NUM	NOUN	m	n	m	m	OD	三	0
16	Na	ns	M	q	NOUN	NOUN	m	n	m	q	M	号	0
17	Na	ns	NN	n	PART	NOUN	m	n	n	n	NN	楼	0
18	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	0
19	Nh	r	PN	rr	PRON	PRON	r	r	r	r	PN	它	0
20	V_2	v	VE	vyou	VERB	VERB	v	v	v	v	VE	有	0
21	Neqa	m	CD	m	NUM	NUM	m	m	m	m	CD	一	0
22	Neqa	m	CD	m	NUM	NUM	m	m	m	m	CD	半	0
23	SHI	v	VC	vshi	AUX	VERB	v	vl	v	v	VC	是	0
24	VH	m	CD	m	NUM	NUM	m	n	m	m	CD	两	0
25	VH	q	M	qv	NOUN	NUM	q	n	m	q	M	层	0
26	T	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	0
27	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	0
28	Na	n	OD	m	NUM	ADJ	m	ns	m	m	OD	二	0
29	Na	n	NN	n	NOUN	ADJ	n	ns	m	n	NN	楼	0
30	DE	u	DEG	ude1	PART	PART	u	u	u	u	DEG	的	0
31	Nh	r	DT	rz	DET	DET	r	n	m	r	DT	另	0
32	Nh	m	CD	m	NUM	NUM	r	n	m	m	CD	一	0
33	Nh	m	CD	m	NUM	NUM	r	n	m	m	CD	半	0
34	Caa	c	CC	cc	CCONJ	CCONJ	c	c	c	c	CC	和	0
35	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	楼	0
36	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	梯	0
37	P	p	P	p	ADP	ADP	p	p	p	p	P	在	0
38	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	战	0
39	FW	n	NN	n	NOUN	NOUN	n	n	n	n	NN	争	0
40	Ncd	f	LC	f	ADP	PART	nd	nd	f	f	LC	中	0
41	D	d	AD	d	ADV	ADV	d	d	d	d	AD	就	0
42	P	p	SB	pbei	VERB	X	p	v	v	p	SB	被	0
43	FW	v	VV	v	VERB	VERB	v	v	v	v	VV	毁	0
44	T	u	AS	ule	PART	PART	u	u	u	y	AS	了	0
45	DASHCATEGORY	w	PU	wp	PUNCT	PUNCT	wp	w	w	w	PU	—	0
46	DASHCATEGORY	w	PU	wp	PUNCT	PUNCT	wp	w	w	w	PU	—	0
47	D	c	AD	d	VERB	VERB	d	vl	v	d	AD	不	0
48	SHI	c	VC	vshi	VERB	VERB	v	vl	v	v	VC	是	0
49	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	炮	0
50	Na	n	NN	n	NOUN	NOUN	n	n	n	n	NN	弹	0
51	VC	v	VV	v	VERB	VERB	v	v	v	v	VV	炸	0
52	T	u	SP	ude1	PART	PART	u	u	u	u	SP	的	0
53	COMMACATEGORY	w	PU	wd	PUNCT	PUNCT	wp	w	w	w	PU	，	0
54	Cbb	c	AD	c	VERB	ADV	c	vl	c	c	AD	而	0
55	Cbb	c	VC	c	VERB	ADV	c	vl	c	c	VC	是	0
56	Na	n	NN	n	NOUN	VERB	n	n	n	n	NN	炉	0
57	Na	n	NN	n	NOUN	VERB	n	n	n	n	NN	子	0
58	VH	v	VV	vn	VERB	VERB	v	v	v	vn	VV	失	0
59	VH	v	VV	vn	VERB	VERB	v	v	v	vn	VV	火	0
60	VH	u	VV	usuo	ADV	VERB	u	v	v	u	VV	所	0
61	VH	v	VV	v	VERB	VERB	v	v	v	v	VV	致	0
62	PERIODCATEGORY	w	PU	wj	PUNCT	PUNCT	wp	w	w	w	PU	。	0
63	FW	p	P	p	ADP	ADP	p	p	p	p	P	从	1
64	Dk	ns	PN	rzv	PRON	PRON	r	r	r	r	PN	那	1
65	P	f	LC	f	ADP	PART	r	nt	f	f	LC	以	1
66	Na	f	LC	f	ADP	PART	r	nt	f	f	LC	后	1
