- парфен ? да уж это не тех ли самых рогожиных ... - начал было с усиленною важностью чиновник . ||| “ 帕 尔 芬 ？ 这 不 就 是 那 一 家 罗 戈 任 … … ” 小 公 务 员 特 别 傲 慢 地 说 。
отправились . ||| 我 们 就 去 了 。
присядьте-ка на минутку ; я вам уже изъяснил , что принимать вас очень часто не в состоянии ; но помочь вам капельку искренно желаю , капельку разумеется , то есть в виде необходимейшего , а там как уж вам самим будет угодно . ||| 您 坐 一 会 ， 我 已 经 对 您 解 释 过 了 ， 我 不 能 经 常 接 待 您 ， 但 是 我 真 诚 地 愿 意 帮 您 一 点 儿 忙 ， 当 然 ， 只 是 一 点 儿 ， 也 就 是 最 必 须 的 ， 而 以 后 随 您 自 己 便 。
она была больная , и у ней всё ноги пухли , так что всё сидела на месте . ||| 她 有 病 ， 两 条 腿 是 浮 肿 的 ， 因 此 老 是 坐 在 一 个 地 方 。
так рассудил сам с собою акакий акакиевич , ободрил себя и дождался первого воскресенья , и , увидев издали , что жена петровича куда-то выходила из дому , он прямо к нему . ||| 阿 卡 基 · 阿 卡 基 耶 维 奇 跟 自 个 儿 这 么 盘 算 着 ， 精 神 为 之 一 振 ， 终 于 等 到 了 下 一 个 礼 拜 天 ， 远 远 便 看 见 彼 得 罗 维 奇 的 老 婆 出 门 到 什 么 地 方 去 了 ， 就 趁 机 去 找 他 。
но тут уж пришлось сконфузиться . ||| 但 这 时 他 不 由 得 慌 张 起 来 。
а она там тридцатый год вдовствует и всё с юродивыми сидит с утра до ночи . ||| 她 在 那 里 寡 居 ３ ０ 年 了 ， 从 早 到 晚 总 跟 一 些 装 疯 卖 傻 的 修 士 在 一 起 ，
неужели у вас нет хоть погодинского издания , генерал ? ||| 将 军 ， 难 道 您 连 波 戈 金 殷 版 本 也 没 有 吗 ，
брак двусмысленной женщины и молодого человека , который мог бы быть камер-юнкером . ||| 是 一 个 轻 薄 女 子 和 一 个 本 可 以 成 为 宫 廷 士 官 的 年 轻 人 的 婚 姻 。
чтобы угодить ей , развернули календарь в другом месте ; вышли опять три имени : трифилий , дула и варахасий . « вот это наказание , — проговорила старуха , — какие всё имена ; я , право , никогда и не слыхивала таких . ||| 为 了 让 她 称 心 如 意 ， 大 家 把 日 历 翻 到 另 一 页 上 ； 又 出 现 了 3 个 名 字 ： 特 里 菲 利 、 杜 拉 和 瓦 拉 哈 西 。 “ 这 真 是 罪 孽 ， ” 母 亲 说 ， “ 尽 是 这 样 的 名 字 ； 我 真 的 还 从 来 没 听 说 过 呢 。
лицо у нее было досиня бледное , глаза погасли и закатились , точно у кликуши . ||| 她 的 脸 色 发 青 ， 眼 睛 失 去 光 彩 ， 象 疯 女 人 似 的 转 动 着 。
матросы такие же , как они , только иначе одеты , но командуют ими , как полицейские . ||| 水 手 们 也 跟 他 们 一 样 ， 只 是 服 装 不 同 。 可 是 ， 却 跟 巡 警 一 般 指 挥 他 们 。
я тоже чувствовал — не место . ||| 我 也 觉 得 这 儿 不 是 地 方 。
— как вкусно ! ||| “ ‘ 真 好 吃 ！ ’ 他 说 。
нет ? ||| 没 有 ？
выбежал на двор дед , обеими руками приглаживая рыженькие волосенки , — спешит в баню обливаться холодной водой . ||| 外 祖 父 跑 到 院 子 里 ， 两 手 抚 平 棕 红 色 的 头 发 ， 急 急 忙 忙 到 洗 澡 房 里 去 淋 冷 水 浴 。
ребенок спит ... ||| 宝 宝 在 睡 觉 … … ”
обижала она меня часто , но бывали дни , когда пухлое , ватное лицо ее становилось грустным , глаза тонули в слезах и она очень убедительно говорила : — ты думаешь — легко мне ? ||| 她 虽 然 常 常 虐 待 我 ， 可 是 那 张 肿 胖 的 脸 上 ， 常 常 流 露 出 忧 伤 的 神 情 ， 眼 里 也 常 常 含 泪 ， 那 时 她 颇 有 道 理 地 说 ： “ 你 当 我 容 易 吗 ？
— не сказано . ||| “ 没 说 。 ”
звали его нифонт , был он маленький , седенький , похожий на святого , часто он доставал из-за пазухи репу , яблоко , горсть гороху и совал мне в руки , говоря : — на-ко , друг , я те гостинцу припас , покушай в сладость . ||| 他 名 字 叫 尼 丰 特 ， 是 个 矮 个 子 ， 长 一 头 白 发 ， 很 象 圣 徒 。 他 常 常 从 怀 里 拿 出 萝 卜 、 苹 果 ， 或 是 一 把 豌 豆 什 么 的 ， 放 在 我 的 手 里 。 “ 唔 ， 送 给 你 ， 朋 友 ， 我 留 着 特 地 请 你 的 。 吃 吧 。 ”
я закурил . он отодвинулся на шаг , и вдруг красное пламя ослепило меня , обожгло мне пальцы , нос , брови ; серый соленый дым заставил чихать и кашлять ; слепой , испуганный , я топтался на месте , а солдаты , окружив меня плотным кольцом , хохотали громко и весело . ||| 我 抽 起 来 ， 他 退 后 了 一 步 。 突 然 ， 烟 卷 上 冒 出 一 股 红 红 的 火 焰 ， 迷 住 我 的 眼 睛 。 我 的 指 头 、 鼻 子 、 眉 毛 都 烧 伤 了 。 一 股 灰 色 的 咸 味 的 烟 气 ， 呛 得 我 又 打 喷 嚏 又 咳 嗽 。 我 眼 睛 瞧 不 见 东 西 了 ， 我 吓 得 蹦 跳 起 来 。 一 群 兵 士 把 我 紧 紧 围 住 ， 快 活 地 高 声 大 笑 。
