,Unnamed: 0,ckiptagger,pkuseg,fastHan,PyNLPIR,stanza,spacy,ltp,jiagu,lac,snownlp,target,char,pymorphy,rus
0,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,洛,NR,лошкаревы
1,1,NR,NR,NR,NR,NR,NR,NR,CD,NR,NR,NR,什,NR,лошкаревы
2,2,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,卡,NR,лошкаревы
3,3,NR,NR,NR,NR,NR,NR,NR,VV,NR,NR,NR,列,NR,лошкаревы
4,4,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,夫,NR,лошкаревы
5,5,CD,NN,CD,CD,CD,CD,CD,CD,CD,CD,CD,一,,
6,6,NN,NN,NN,M,NN,CD,CD,VV,CD,M,NN,家,,
7,7,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,住,VV,жили
8,8,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJF,котором
9,9,NN,NN,NN,NN,NN,NN,NN,NN,VA,NN,NN,简,NN,барак
10,10,NN,NN,NN,NN,NN,NN,NN,NN,VA,NN,NN,易,NN,барак
11,11,NN,NN,NN,NN,DEG,NN,NN,NN,NN,NN,NN,房,NN,барак
12,12,SB,SB,SB,SB,VV,BA,SB,SB,SB,SB,SB,被,VERB,именовался
13,13,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,叫,VV,именовался
14,14,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,做,VV,именовался
15,15,NN,NR,OD,OD,CD,NN,OD,NN,OD,OD,OD,三,OD,три
16,16,NN,NR,M,M,M,M,CD,NN,CD,M,M,号,M,номер
17,17,NN,NR,NN,NN,DEG,NN,CD,NN,NN,NN,NN,楼,NN,строением
18,18,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,,
19,19,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,它,,
20,20,VE,VE,VE,VE,VE,VE,VE,VE,VE,VV,VE,有,ADVB,частично
21,21,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,一,ADVB,частично
22,22,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,半,ADVB,частично
23,23,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,VC,был
24,24,VA,CD,CD,CD,CD,CD,CD,NN,CD,CD,CD,两,ADJF,двухэтажным
25,25,VA,M,M,M,M,M,M,NN,CD,M,M,层,ADJF,двухэтажным
26,26,SP,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,ADJF,двухэтажным
27,27,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PU,.
28,28,NN,NN,OD,OD,CD,JJ,OD,NR,OD,OD,OD,二,ADJF,второго
29,29,NN,NN,NN,NN,NN,NN,NN,NR,CD,NN,NN,楼,NN,этажа
30,30,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,NOUN,этажа
31,31,PN,DT,DT,DT,DT,DT,DT,NN,CD,DT,DT,另,,
32,32,PN,CD,CD,CD,CD,CD,PN,NN,CD,CD,CD,一,NOUN,половина
33,33,PN,CD,CD,CD,CD,CD,PN,NN,CD,CD,CD,半,NOUN,половина
34,34,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,和,CC,и
35,35,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,楼,NN,лестница
36,36,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,梯,NN,лестница
37,37,P,P,P,P,P,P,P,P,P,P,P,在,P,в
38,38,VV,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,战,NN,войну
39,39,VV,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,争,NN,войну
40,40,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,中,LC,в
41,41,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,就,AD,еще
42,42,SB,SB,SB,SB,VV,BA,SB,VV,VV,SB,SB,被,VERB,сгорели
43,43,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,毁,VV,сгорели
44,44,AS,AS,AS,AS,AS,AS,AS,AS,AS,AS,AS,了,AS,сгорели
45,45,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,—,CONJ,и
46,46,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,—,CONJ,и
47,47,AD,AD,AD,AD,VV,VV,AD,VC,VV,AD,AD,不,PRCL,не
48,48,VC,AD,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,PRCL,не
49,49,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,炮,NN,бомбы
50,50,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,弹,NN,бомбы
51,51,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,炸,NOUN,бомбы
52,52,SP,SP,SP,DEG,SP,SP,SP,SP,SP,DEG,SP,的,PREP,от
53,53,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PU,","
54,54,AD,AD,AD,AD,VV,AD,AD,VC,AD,AD,AD,而,CONJ,а
55,55,AD,AD,VC,AD,VC,AD,AD,VC,AD,AD,VC,是,CONJ,а
56,56,NN,NN,NN,NN,NN,VV,NN,NN,NN,NN,NN,炉,NN,печки
57,57,NN,NN,NN,NN,NN,VV,NN,NN,NN,NN,NN,子,NN,печки
58,58,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,失,,
59,59,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,火,,
60,60,VV,DEG,VV,MSP,AD,VV,DEG,VV,VV,DEG,VV,所,PREP,от
61,61,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,致,PREP,от
62,62,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PU,.
63,63,VV,P,P,P,P,P,P,P,P,P,P,从,NOUN,пор
64,64,AD,NR,PN,DT,PN,PN,PN,PN,PN,PN,PN,那,NOUN,пор
65,65,LC,LC,LC,LC,LC,LC,PN,NT,LC,LC,LC,以,NOUN,пор
66,66,NN,LC,LC,LC,LC,LC,PN,NT,LC,LC,LC,后,NOUN,пор
67,67,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,,
68,68,AD,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,要,,
69,69,P,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,到,PREP,в
70,70,OD,NR,OD,OD,CD,NN,OD,NR,OD,OD,OD,二,ADJF,второго
71,71,CD,NR,NN,NN,NN,NN,CD,NR,CD,NN,NN,楼,NN,этажа
72,72,VV,VV,VV,VV,VV,VV,VV,NN,VV,VV,VV,剩,VV,сохранившуюся
73,73,VV,VV,VV,VV,VV,VV,VV,NN,VV,VV,VV,下,VV,сохранившуюся
74,74,VV,VV,VV,VV,VV,VV,VV,NN,VV,VV,VV,来,VV,сохранившуюся
75,75,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,PRTF,сохранившуюся
76,76,CD,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,部,NN,часть
77,77,CD,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,分,NN,часть
