,ckiptagger,pkuseg,fastHan,PyNLPIR,stanza,spacy,ltp,jiagu,lac,snownlp,target,char,pymorphy,rus
0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,洛,NOUN,лошкаревы
1,NR,NR,NR,NR,NR,NR,NR,CD,NR,NR,NR,什,NOUN,лошкаревы
2,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,卡,NOUN,лошкаревы
3,NR,NR,NR,NR,NR,NR,NR,VV,NR,NR,NR,列,NOUN,лошкаревы
4,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,夫,NOUN,лошкаревы
5,CD,NN,CD,CD,CD,CD,CD,CD,CD,CD,CD,一,,
6,NN,NN,NN,M,NN,CD,CD,VV,CD,M,NN,家,,
7,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,住,VERB,жили
8,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,ADJF,котором
9,NN,NN,NN,NN,NN,NN,NN,NN,VA,NN,NN,简,NOUN,барак
10,NN,NN,NN,NN,NN,NN,NN,NN,VA,NN,NN,易,NOUN,барак
11,NN,NN,NN,NN,DEG,NN,NN,NN,NN,NN,NN,房,NOUN,барак
12,SB,SB,SB,SB,VV,BA,SB,SB,SB,SB,SB,被,VERB,именовался
13,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,叫,VERB,именовался
14,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,做,VERB,именовался
15,NN,NR,OD,OD,CD,NN,OD,NN,OD,OD,OD,三,NUMR,три
16,NN,NR,M,M,M,M,CD,NN,CD,M,M,号,NOUN,номер
17,NN,NR,NN,NN,DEG,NN,CD,NN,NN,NN,NN,楼,NOUN,строением
18,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,,
19,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,PN,它,,
20,VE,VE,VE,VE,VE,VE,VE,VE,VE,VV,VE,有,ADVB,частично
21,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,一,ADVB,частично
22,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,半,ADVB,частично
23,VC,VV,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,VERB,был
24,VA,CD,CD,CD,CD,CD,CD,NN,CD,CD,CD,两,ADJF,двухэтажным
25,VA,M,M,M,M,M,M,NN,CD,M,M,层,ADJF,двухэтажным
26,SP,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,ADJF,двухэтажным
27,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,.
28,NN,NN,OD,OD,CD,JJ,OD,NR,OD,OD,OD,二,ADJF,второго
29,NN,NN,NN,NN,NN,NN,NN,NR,CD,NN,NN,楼,NOUN,этажа
30,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,DEG,的,NOUN,этажа
31,PN,DT,DT,DT,DT,DT,DT,NN,CD,DT,DT,另,,
32,PN,CD,CD,CD,CD,CD,PN,NN,CD,CD,CD,一,NOUN,половина
33,PN,CD,CD,CD,CD,CD,PN,NN,CD,CD,CD,半,NOUN,половина
34,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,CC,和,CONJ,и
35,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,楼,NOUN,лестница
36,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,梯,NOUN,лестница
37,P,P,P,P,P,P,P,P,P,P,P,在,PREP,в
38,VV,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,战,NOUN,войну
39,VV,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,争,NOUN,войну
40,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,中,PREP,в
41,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,AD,就,ADVB,еще
42,SB,SB,SB,SB,VV,BA,SB,VV,VV,SB,SB,被,VERB,сгорели
43,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,毁,VERB,сгорели
44,AS,AS,AS,AS,AS,AS,AS,AS,AS,AS,AS,了,VERB,сгорели
45,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,—,CONJ,и
46,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,—,CONJ,и
47,AD,AD,AD,AD,VV,VV,AD,VC,VV,AD,AD,不,PRCL,не
48,VC,AD,VC,VC,VC,VC,VC,VC,VC,VC,VC,是,PRCL,не
49,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,炮,NOUN,бомбы
50,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,弹,NOUN,бомбы
51,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,炸,NOUN,бомбы
52,SP,SP,SP,DEG,SP,SP,SP,SP,SP,DEG,SP,的,PREP,от
53,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,PUNCT,","
54,AD,AD,AD,AD,VV,AD,AD,VC,AD,AD,AD,而,CONJ,а
55,AD,AD,VC,AD,VC,AD,AD,VC,AD,AD,VC,是,CONJ,а
56,NN,NN,NN,NN,NN,VV,NN,NN,NN,NN,NN,炉,NOUN,печки
57,NN,NN,NN,NN,NN,VV,NN,NN,NN,NN,NN,子,NOUN,печки
58,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,失,,
59,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,火,,
60,VV,DEG,VV,MSP,AD,VV,DEG,VV,VV,DEG,VV,所,PREP,от
61,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,致,PREP,от
62,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,.
63,VV,P,P,P,P,P,P,P,P,P,P,从,NOUN,пор
64,AD,NR,PN,DT,PN,PN,PN,PN,PN,PN,PN,那,NOUN,пор
65,LC,LC,LC,LC,LC,LC,PN,NT,LC,LC,LC,以,NOUN,пор
66,NN,LC,LC,LC,LC,LC,PN,NT,LC,LC,LC,后,NOUN,пор
67,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,，,,
68,AD,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,要,,
69,P,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,到,PREP,в
70,OD,NR,OD,OD,CD,NN,OD,NR,OD,OD,OD,二,ADJF,второго
71,CD,NR,NN,NN,NN,NN,CD,NR,CD,NN,NN,楼,NOUN,этажа
72,VV,VV,VV,VV,VV,VV,VV,NN,VV,VV,VV,剩,PRTF,сохранившуюся
73,VV,VV,VV,VV,VV,VV,VV,NN,VV,VV,VV,下,PRTF,сохранившуюся
74,VV,VV,VV,VV,VV,VV,VV,NN,VV,VV,VV,来,PRTF,сохранившуюся
75,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,DEC,的,PRTF,сохранившуюся
76,CD,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,部,NOUN,часть
77,CD,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,分,NOUN,часть
78,AD,VV,VV,VV,AD,VV,VV,VV,VV,VV,VV,去,,
79,AD,VV,AD,AD,AD,AD,AD,AD,AD,AD,AD,就,,
80,AD,DEG,VV,DER,VV,VV,AD,VV,VV,VV,VV,得,,
81,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,爬,VERB,залезали
82,NN,NN,JJ,NN,JJ,JJ,VV,JJ,NN,NR,JJ,单,NOUN,лестнице
83,NN,NN,NN,NN,NN,NN,VV,NN,NN,NR,NN,梯,NOUN,лестнице
84,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,。,PUNCT,","
85,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,洛,NOUN,лошкаревым
86,NR,NR,NR,NR,NR,NR,NR,CD,NR,NR,NR,什,NOUN,лошкаревым
87,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,卡,NOUN,лошкаревым
88,NR,NR,NR,NR,NR,NR,NR,VV,NR,NR,NR,列,NOUN,лошкаревым
89,NR,NR,NR,NR,NR,NR,NR,NN,NR,NR,NR,夫,NOUN,лошкаревым
90,NR,P,P,P,P,P,P,P,NN,P,P,从,PREP,после
91,NR,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,军,NOUN,госпиталя
92,NR,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,队,NOUN,госпиталя
93,NR,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,医,NOUN,госпиталя
94,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,院,NOUN,госпиталя
95,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,回,,
96,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,VV,来,,
97,DEG,LC,LC,LC,LC,LC,LC,NT,LC,LC,LC,之,PREP,после
98,NN,LC,LC,LC,LC,LC,LC,NT,LC,LC,LC,后,PREP,после
99,BA,BA,BA,BA,BA,BA,BA,BA,BA,BA,BA,把,,
100,NN,DT,DT,DT,DT,DT,DT,DT,DT,NR,DT,这,,
101,NN,NN,NN,NN,NN,AD,NN,NN,NN,NR,NN,梯,,
102,NN,NN,NN,NN,NN,AD,NN,NN,NN,NN,NN,子,,
